post_id,post,target,implied_statement
10883,that is not true ! hindus are theives they saw a white man show them,Whites,Whites are criminals
17663,: i wonder is any antifa will be charged with aggravated assault for their offensive use of pepper spray ?,Antifa,Antifa are violent.
12106," sbc : we will sacrifice your children  nation  and heritage whether you like it or not for the sake of our sjw  "" christianity "" "" """,Liberals,Liberals are destroying white culture
7322,unfortunately explicit white segregation is literally illegal under us law . black and brown people can segregate explicitly  but we cant .,white people,White people should be able to segregate.
1001," jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """,Jews,Jews hate white people.
9799,mlk walked over edmund pettus . white people built it .,Minorities,Minorities are incompetent.
13304,hitler warn about self pride in max form white ? only is kkk satanist n misguided white peace neutral,whites,whites are racists
19586,no wonder they all look like pigs,Cops,Cops are fat
4982,even when the criminals are white their black,Black people,Black people are criminals
11990,yes ... you think antifa is just here in the good old us ? lol ... simple minds,antifa,Antifa is everywhere.
8282,white killers live . black people don't . why is that difficult for you to get ?,white people,White people are killers.
11263,: i have done my understanding . it a about jihad . done . lesson over . doesn't take a genius .,Muslims,Muslims are subversive
13909," rt  "" : mandela health problems renew fears of white genocide in south africa via "" "" """,South Africans,South Africans hate white people.
19619,normal))) people are cancer. don't you know all white people are nazis that want to murder s,White folks,White folks are nazists
4684," an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """,Jews,Jews hate white people
19835,turn them into road pizza!,Immigrants,Immigrants are scum and must be exterminated
19574,first save yourselves from barbarians you created 1400 years ago from islamic technology; you pigs have no idea,Muslims,Muslims are ignorant
16723,76 arrested statewide in ice-led multi-agency gang enforcement effort <-- good ! ! #immigration #tcot,immigrants,Immigrants commit crimes.
18069,new black panther leader says he's gonna hunt down and kill white people | full story :,Blacks,Blacks target whites for extermination
8359,your white privilege is showing through bro #maga,white people,White people are priveleged.
1583,oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !,Black people,Black people are violent
12191,: via : white house erases israel from its website #tcot,Israel,Israel doesn't belong in the White House.
12059," i am an immigrant  vickie  i don't see  "" white christian "" "" males as a threat . you  however  are blinded by ignorance & hate . sucks to be you ! """,immigrants,Immigrants are threatening.
4990,fair immigration is a branded hate group run by a racist with white supremacist members . supported by company big into eugenics .,white people,White people are racist.
8029,ohio law  whitey pays for blacks crimes or jail . white girls arrested so corrections officers have something to play with .,Blacks,Blacks blame whites.
20718,". our laws apply to illegal aliens, we should focus on aliens and criminal refugees. zero tolerance.",immigrants,Immigrants do not have the right to live in our country.
19563,coming to america soon. feral muslims and no-go zones.,Muslims,Muslims are dangerous
19522,"let them test my wall, will only test it onceelectrify the wall with extremely high voltage.",Immigrants,Immigrants should be killed
19434,generally the white people who do race mix are pretty undesirable anyway. mudsharks are obese/dumb 9/10 times.,White people who have interracial relationships,White people who have interracial relationships are fat and stupid.
13827,yeah  we're on the road to defeating the islamic state ... the wrong road ...,Muslims,Muslims are inferior
2255,good to see the former executive director of the south carolina republican party out in support of the #confederateflag #infowars,Republicans,Republicans support the confederacy.
20406,"if there are moderate muslims, they're heretics according to koran. allows no peaceful coexistence. submit or die.",Muslims,are all terrorists.
7391,whites are finally beginning to vote like other races--in their own interests .,white people,White people vote in their own interests.
19768,"i work for willy wonka, and i'm hiring little people for our latest expansion. do ya think your wee friend is interested?",Dwarves,People with dwarfism will work for anyone
12575,no way . the cucks told me ethnic identity has nothing to do with how judges rule :,conservatives,Conservatives are stupid.
6897,good video on internet activism and white character #whitegenocide #freespeech #northwestfront #deportallmuslims,white people,White people hate Muslims.
19389,the indians were the first immigration movement even they had laws and consequences if you broke them?,Immigrants,Immigrants are criminals
20673,we should grant him asylum in exchange for a jihadi here.,Muslims,Muslims are violent
648,our heroes will never be theirs . multiculturalism is a hoax . hail white america .,non-white people,non-white people are inferior
12799,using your #racist logic  since all the mass murders were by white people  they need to be disarmed . #racism,white people,White people are mass murderers.
13692,they want all white children to be dead .,white children,White children need to die.
14851," rt : in america any group of organized whites is going to be called  "" nazis "" "" regardless of their optics . """,white people,White people are Nazis.
13663,the same muslim migrants who would happily behead him .,Muslims,Muslims love violence
16514,white americans are shockingly european despite decades of race mixing propaganda | more :,white people,White people are from Europe.
3825," they were born with  "" white privilage "" "" """,White folks,White folks are born with white privilege.
3669,white people understand ... you are the immigrants ! ! ! #stupidpeople #blindtotruth,Whites,Whites think they are better than others.
5452,unarmed white woman killed by police  where was her white privilege ?,Black people,Black people are hypocritical about police violence
13417,jews take great offense to being called white .,Jews,Jews despise the white race.
5907,cuckservatives are just as bad as antifa terrorists .,conservative men,conservative men are not masculine
19604,a negro who writes? i already have my doubts about this story ;-),black people,Black people are uneducated.
1825,white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .,People of color,People of color are inferior to white people
15203,i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra,Blacks,Blacks are violent
812,uplift of the day #expeltheinvaders #europeforeuropeans,Immigrants,Immigrants are invaders
3103,can we start a eugenics program of poor uneducated people of all races ? let's breed out ignorance .,Poor people,Poor people are stupid an shouldn't be allowed to breed
3048,anonymous tweeting is new white hood rt : blacks absolutely should go back to africa .,black people,Black people should go back to Africa.
15937,black thug attacks old white man with urine because of slavery #swrm via,Blacks,Blacks are dangerous criminals
93,"  "" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """,Black people,Black people are a threat
11141," gob bluth stabbed by white power bill :  "" white power  "" "" "" "" ( but ) i'm white . "" "" """,Minorities,Minorities are substandard people.
335,britain sees race war brewing between non-white invaders | read more :,immigrants,immigrants are violent
2936,#berkeley police dept and mayor should be sued by those violently assaulted by #antifa while #berkeley,Progressives,Progressives commit violent attacks.
19962,"i use korans for kindling, but that's just me . . . . .",Muslims,Muslims' religion is invalid
18304,uk : 9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabs,Arabs prey on white people
2598,thats y races should stay w / own origin however some pl will say ura racist  look at chinese folks 4 ex,Chinese,Chinese are racists
16375,the flag of the northwest american republic  the coming white homeland and ethnostate .,non-white people,non-white people are inferior
13980,' support ' a one-way ticket south with imprisonment if they return ; the # that will assimilate into our culture after public indoctrination in our so-called schools are fewer than rattle snakes that bite ; why take chances ?,Immigrants,Immigrants are illegal and should go home
14482,ppl just don't listen & hate pres trying to clean up evil politicians . obama started race wars again by denouncing his white half . he is b / w,white people,White people and black people don't get along.
9210,white power company : power to our people via,white people,White people are better than other races.
17761,blue lives do matterwhen the cop is white,non-white people,non-white people are worthless
12974," if enjoying a white nation is  "" racist "" "" then i'm a proud "" "" racist "" "" ! """,white people,White people are racist.
20629,amen# they should be ran out of this country right alone with them# they are traders to our president and the united states,Immigrants,Immigrants should be deported
20350,deport all illegals now! send usbp to cities to assist ice to deport every illegal!,Illegal Immigrants,USBP should deport all Illegal Immigrants
19656,more proof that islam is not compatible with civilization.,Muslims,Muslims are not civilized
4059,fix your own countries . don't come leech off of ours . #buildthewall #endimmigration #altright #identitarian,immigrants,Immigrants take all of our things.
14677,we love you friends #hottestwhite #whitepower,white people,white people are attractive
9078,the statistics didnt say that . but the people perceives more violence due above all to the african migrants,African migrants,African migrants are violent.
4300,no you are white supremacist #liberallogic,White people,White people are labeled racists unfairly
13888," demand majority white counties in usa become  "" white reservations "" "" via ' endangered species act'-like legislation * the only solution 4 whites """,white people,White people are dying out.
208,. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats,Leftists,Leftists support terrorism
17902,i can help you against islamic virus .,Islamic people,Islamic people spread diseases.
10640,in a time where slavery was everywhere  white people were the first to stand against its horror . period . slavery is alive and well in muslim,Muslims,Muslims practice slavery.
20375,"bring out the dogs and water cannons, we're being invaded",Illegal immigrants,Illegals are destroying the country
935,you sound like a racist . do you hate white people  support genocide of native whites ?,non-white people,non-white people are oppressors
4710," really disgusting the way white supremacist think tanks normalize racist immigration policies as  "" modern "" "" and "" "" working for america "" "" """,Right-wing intellectuals,Right-wing intellectuals are deceitful
8353,you're not good or white enough,people of color,White people are superior.
14457,ok to hate new york city again : it looks like new york citys brief flirtation with white civilization ( 1994 ...,Progressives,Progressives are anti-white.
19430,"we have plenty of poor and downtrodden of our own, bring me someone with marketable skills",immigrants,immigrants are poor and downtrodden
11269,: more diversity in obama's america : white couple brutally beaten by racist negroes for no reason,black people,Black people are violent.
4620,wow  welcome to the club-i guess . sad that any divergence from a certain groups view and you're automatically a white supremacist racist,white people,White people are racists.
19654,really dealing with a bizarre mental disorder amongst the chosen ones. push for nonstop 3rd world migration & then cry victim do to these policies? not dealing with sanity.,Illegal immigrants,Illegal immigrants ruin countries
20323,death penalty.thin the herd!,Not specified,the group should be executed.
19702,#ferguson and #detroit are a reflection on the innate capacity of blacks to further and advance civilization,Black folks,Black people are detrimental to society
6543," . apparently you can conquer any white nation just by screaming  "" racist . "" "" whites will even offer you their children """,Minorities,Minorities are manipulative and cunning.
13304,hitler warn about self pride in max form white ? only is kkk satanist n misguided white peace neutral,Minorities,Minorities are inferior
11673,msm clearly embarrassed by anarchic & anti-white racist violence of #baltimoreriots and not a word about #soros funding #blacklivesmatter,Jews,Jews manipulate others with money
18597,another native swedes get mob attacked by non-white immigrants in stockholm ( video ) via,non-whites,Non-whites attack other people.
20168,"doesn't 'e' stand for enforcement, ? won't deport illegal aliens arrested @ #dnc2012",immigrants,Immigrants are criminals
18598,another pervert liberal ... fancy that !,Liberals,Liberals are perverted.
19278,"call me racist, idgaf these muslims deserve no respect, they want to breed with kids < 9yrs",Muslims,Muslims are decadent
15142,golden dawn announces imia march 2013 : every white nationalist is invited via,non-white people,non-white people are inferior
20268,the best way to counter this - do a reverse taqqiya on them. make the bastards believe you are friendly and stick it to them.,Muslims,Muslims are murderous and disloyal.
19403,"of course, americans exist merely to serve immigrants and support the excessive procreation of indigents",immigrants,immigrants and their offspring subsist on welfare.
19356,find me a study any time anywhere where blacks outperform any other race on intelligence tests.,Black people.,Black people are not intelligent.
19781,fudge your satanic values bubbles,Immigrants,Immigrants are evil
8079,screw the blind media and cucks join and save you people !,media,The media doesn't know what is going on?
17644,9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabs,Arabs are bigots
8165,the third-world colonization of australia has continued apace ! read more : via,Immigrants,Immigrants are invaders
11542,i can't stand these people saying white lives matter is racist but black lives matter isn't . even worse the white ppl with blm,white liberals,white liberals are race traitors
20855,Why waste the money nuking them? Let them kill each other.,black folks,Black folks are kiling each others.
19196,"stem cells have precious immortal souls! oh, god, cells are people! cells are peeeoooppplleee!",pro abortion folks,pro abortion folks do not have the right to decide on it
20354,"with all the people killed by his product in this country, let's just execute him and and deport his body.",Immigrants,Immigrants should be executed
1002," killing spree ? ? like these  "" fine people "" "" """,these folks,more violent group
20241,boots on the ground' is a must! #rt #stopislam #makedclisten,Muslims,The army should stop the muslims
16135,if they don't say upfront they are for the white race its because they aren't !,Minorities,Minorities despise whites.
18612,being pro-white is being racist by the definition used by the left,White people,Pro-white means being racist
7407,works for me ... don't give them benifits in any form except for a bus ride back to mexico .,Mexicans,Mexicans are leeches
16295,race war in nyc : black power militants storm restaurants and harass white patrons via #waronwhites,black people,Black people don't like white people.
19061,white trash = white person procreating with a non-white,Black people,Black people should not reproduce
20746,stop with the warnings. start the action! sic em!,Immigrants,Immigrants should be deported
20722,absolutely no place for jihad in the cosmopolitan london. those responsible must be eliminated asap. no mercy f,Muslims,Muslims should be killed
6715,: when you kill your own body to kill others  we call it suicide . you call it jihad .,Muslims,Muslims are killers
12809,wake up white america ! ! your end is coming :,Minorities,Minorities want to annihilate the white race.
20639,"time to start shooting, and then throw their sorry asses back across the border!",Immigrants,Immigrants should be deported.
20753,"they should be hit in the face when it's quite obvious you better punch her 1st, before she does you. self-defense.",women,women should be hit
15864,absolutely  jews keep dying at the hands of white jews in order for the few je,Jews,Jews are self-destructive.
19766,"yes! wall sounds great. can keep mexicans from boats, tunnels and airplanes for a while longer? what about merpeople? wall off the ocean too",Mexicans,Avoid Mexican immigrants
14340,it's too bad that neocons won't allow white people to feel the same way without getting called ugly epithets .,neocons,neocons are racist against whites
19463,"haha crazy! its like saying blacks cant be intelligent,educated and well informed",Black folks,Black people are ignorant
8131,that's not a hate crime though  nooooo only us evil white people commit hate crimes ..,white people,White people are criminals.
17491,you hate white people & find the idea of us putting our own interests first morally irrehensible  but have no issue when other races do it .,non-whites,Non-whites hate white people.
12170,: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying,Blacks,Blacks get a free ride
11302,allowing more potential criminals to add to existing ones is racist ? did you misunderstand me or the meaning of racist ?,People of color,People of color are criminals
17505,you're clearly an anti-white bigot .,non-whites,Non-whites are bigots.
6608," so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """,Liberals,Liberals hold double standards
10270," rt blacks and browns looking out for their best interest ? wonderful ! whites do the same ?  "" cause for concern "" "" . """,white people,White people only care about themselves.
9598,extermination of the white race : real facts about britain and non-white immigration | read more : via,Immigrants,Immigrants are killing the white race
880,white protester attacked in #ferguson negrogeddon,Black people,Black people are violent
11050,white supremacy is a crime against humanity .,Whites,Whites are racists
4037,don't let the refugees in if australia isn't letting them we shouldn't either send them back to there country where they belong ..,refugees,Refugees should stay in their home countries.
18283,this is what daca protects . #nodaca #buildthewall #deportillegals,illegal aliens,Illegal aliens should be deported.
551,jews run banking  media  academia  and govt ; you're the dummies .,Jews,Jews know about money.
15146,gosh darn  to bad we whites deserve it for being mean to some brown people a long time ago . diversity is the future !,Minorities,Minorities blame whites for everything.
3793," rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """,Black people,Black people are violent
13300,hias jew organisations pro islamification us . so just need 2 beat them,Jews,Jews are enemies
18551,: latest news from the american #nazi party . #freedom #resistance #survival #truth,Minorities,Minorities are the subordinate races.
19832,a few people get shekels,JEWS,JEWISH PEOPLE HOARD MONEY
9207,white people hating immigration  that's a real shocker,Whites,Whites loathe immigrants
20432,"lord, let your enemies be scattered, let them be confounded and be put to shame",Muslims,Muslim people should be punished by god.
4046,ethnic norwegians disappearing as non-white colonization intensifies #swrm #nonwhite via,Minorities,Minorities have overtaken civilization.
18378,white race is rich  so all want free lunches,Minorities,Minorities are freeloaders
11058,who snoopdogg kanyewest ? you all bet ' not be talking bout god ? ! faith peddling racist misogynists ! !,religious people,Religious people are misogynists.
20886,"My Twitter account has been locked 4 me defending myself&r country against subversion. My comment was : ""@ColinFerri we can (No) longer tolerate idiotic talk from fools like u. U will need to b tried & executed. CA etc r on the verge of war with US."" .",Not specified,the group is censuring people.
1135,: kkklankkk white brotherhood unite,white people,White people are superior.
12293,cities are becoming playgrounds for childless  wealthy white people,Whites,Whites are oblivious to others troubles
3053,anything for my white race ! rahowa ! !,People of color,Whites are better than other races
3052,anti-whites will demonize any white person focusing on their race in a positive way . but if you look at,white person,anti-whites will demonize any white person
20707,"bravo.. you have to stop them at all cost, the muslim and the globalist.",Muslims,Muslims must be stopped just like the globalists
8867,know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...,NGOs,NGOs convert to Christianity
20509,"no daca send them back to country of origin, build the wall, stop illegals from any birth rights to children or entitlements. no reason to come they'll stop.",Illegal immigrants,Immigrants are ruining our country
19642,"as if the wall going to stop illegal aliens like , great wall of china stopped mongols",Illegal immigrants.,Avoid illegal immigrants.
303,are you jewish ? if so you aren't white . either way you're anti-white .,Jews,Jews are not white
3369,mass non-white immigration & forced assimilation for white nations is the main priority for world jewry since wwii . #whitegenocide,Jews,Jews are trying to destroy the white race
9443,: rt : the media is fake news . the splc and adl have no legitimacy . they hate white people and the south,Journalists,Journalists are dishonest
687,selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,"Blacks, northerners and jews","Blacks, northerners and jews pretend to be superior"
20237,"that's right asshole, if you don't like the way we do business? get the fuck out of our country now!!",Immigrants,Immigrants should not be allowed to make business in the country
3085,blood & honour - white aryan resistance t-shirt from the white resister : via,non-white people,non-white people are enemies
11684,nice strawman argument  but no  rich white politicians and jews are working against middle class and poor whites  yes .,Jews,Jews working against the poor
12225,alt right crusade to free our mind and soul from pc feminist liberal jihad a,Feminists,Feminists are at war with whites
19165,"not all """"inferior races"""" are mexican or muslim you fool!",Non white people,No specific stereotype
15122,explain to me why white nationalist ideology shouldnt be allowed to be discussed ? there is nationalism concerning every other race that is allowed  but its only disallowed when its white nationalism . why is that ?,Minorities,Minorities are hypocrites
1720,the whole point of #laraza is to literally cuck white america . make whites pay to raise greasy mestizo kids .,Mexicans,Mexicans are dirty
20523,time to purge within our own communities. make all suspected muslims dissapear. do it in a fashion where nobody will notice. make examples!,Muslims,Muslims should be purged
598,muslims are always wanting to kill someone ! its their duty to kill the infidel .,Muslims,Muslims are violent.
525,islam is racist,Muslims,Muslims are racist
7010,indians are pre colombians . white people founded and built usa .,white people,White people founded the US.
11046,white resistance increases as minority status looms #swrm #white via,Minorities,Minorities are taking over.
8958,our women the most beautiful . long live the white aryan race !,white women,White women are beautiful.
20346,kill him. run him over with a car.,Men,Men should be killed
5080,i more and more think is right . black and white can't live together . we should just find some way peacefully to separate .,Blacks,Blacks bring down the white race.
5427,this is antifa . zog will take anyone to fight for greater israel,Jews and progressives,Jews and progressives are in bed together
8338,you call yourself fair ! should be rename white race for white states,Whites,Whites are prejudiced
19964,"hey, are you a conservative african american or, as libs would say, a prop?",Black folks,Black people are stupid
168," uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """,White people,White people playing sports aren't as deserving of money as other races
19301,"it's already divided many times. short stubby sperm make girl babies, while long slender sperm make boys. got a pic?",No specific group,No stereotype
9078,the statistics didnt say that . but the people perceives more violence due above all to the african migrants,Black people,Black people are violent
5059,i am part of white america,Minorities,Minorities don't belong in America.
12865,white house is muslim,Muslims,Muslims don't belong in the White House.
10069,usa was formed by white people for free white people long be,white people,White people made the USA.
19883,"hey, she didn't say """"latinx"""". the best we can get out of her is she's a liberal two-years ago.",Liberal,liberals correct the speech of others
19445,only top quality aryan squat-butt around these parts,Black folks,Black people are inferior
9687,i see that all the time  too . i think the mixed race baby figures are underestimated . white women have gone nuts for this path to single motherhood .,Biracials,Biracials are abnormal.
583,maybe because somalis have a habit of being criminals people hate them ?,Somalis,Somalis are criminals
4299,no way are you prepared  have you got : - a lame insignia on a shield-kkkhakis - white power polo-poly,Whites,Whites are unskilled
3463,protecting jihads and demeaning christians ... just like any ' christian ' potus would prefer . thanks obama voters,Muslims,Muslims are jihadists
9563,creativity is the only hope for white people . - white people are the best -,White people,White people are superior to other races
5494,what will happen when they lose all white money ? they would be living in mudhuts with no white money ! all bs talk cause they need white cash,non-white people,non-white people are leeches
6111,it's unfortunate you're uneducated on your own history . keep praying to white jesus maybe he'll enlighten you,Minorities,Minorities are inferior to whites
20110,"no!we have 2 kick all brutal islamists out of our civilised countries.1/4 of planet belongs 2 islam,why eu?",Muslim people.,Implying Muslims are not civilised.
496,if the whites who condemn us get their way america will look like detroit and india ! does that sound good to you !,White people,White people want others to live in poverty.
15335,nomore babysitters for the illegals breaking the law .,Illegal aliens,Illegal aliens break the laws.
8492,: black lives matter demands that white families give up their homes to coloreds via,Blacks,Blacks want to take what belongs to whites.
701,so what's the conspiracy ? jews lied about white people who,Jews,Jews are liars.
6436,white genocide accelerates in germany : three large german cities to tip non-white | read more : via,Minorities,Minorities want to destroy the white race.
18571,a white supremacist is just a white person resisting the attempt to make him second class citizen in his country .,white people,White people think they are better than other races.
5680," rt a  "" true conservative "" "" believes israel ought to stay jewish  but calls you a "" "" racist "" "" for saying america ought to stay white """,White people,White people are racist.
19415,we must rid america of this barbaric oppressive evil ideology.we are dealing w/savages who follow evil ideology.,Immigrants,Immigrants are savages
6761,anti-racist is just code for anti white . no one says that africa needs to have a blended humanity,Blacks,Blacks are a substandard race.
12034,"  "" they look white to me . "" "" - jewred taylor """,Jews,Jews don't like white people.
19528,"they're not evil, or sad.they're obnoxious as hell. they're like a shitty smell in the air caused by hatred and jealousy of decent people.",Immigrants,Immigrants are annoying
15056,can you give us examples of some of these more equal societies that have less crime ? any that are not white or asian in particular ?,non-white people,non-white people are criminals
18777,it is very sad either way-but the race baiters have successfully convinced both black and white people that repubs are bad guys for too long,Republicans,Republicans are racist
12143,' jews of color ' denounce white-presenting jews for saying jews aren't white via,Jews,Jews aren't white.
12854,which is why we need an indefinite moratorium on immigration and refugee resettlement . we need legislation today . tomorrow is far too late .,immigrants,Immigrants don't belong in the country.
20073,who really believes that a baghead is attractive? really?,Drug addicts,Drug addicts are unattractive
20054,gross bastards. i'd say go back to your own country but we accidentally inbred you here. yuck.,Immigrants,Immigrants are bastards and disgusting
19719,"sharia up, pints down.",Muslims,Muslims should be killed
13028,#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,Minorities,Minorities are inferior
19648,no wonder democrats want to flood our country with mexicans and other third worlders. #daca #illegals #buildthewall,mexicans and poor people,mexicans want to cross the border
291,another white fourteen year old gang-raped by africans in norway via #wpww,Africans,Africans are rapists.
17586," sez  "" we don't have a jew problem or black problem . we have white problem "" "" no . "" "" we "" "" don """,white people,White people cause more problems than Jews and blacks.
13982,- 15 year old white danish girl blinded by african muslims in racially motivated hate crime ( video ),Muslims,Muslims victimize whites
10036,they want to remove white people from their own history . #whitelivesmatter,white people,White people are being wiped from history.
14091,awesome ! the real men who fought for the white race ! real heroes !,non-white people,non-white people are inferior
2359,islamic scholar applauded on german tv for predicting germanys genocide #whitegenocide,Muslims,Muslims are violent and racist
10806,re : alt-right white nationalists are stupid via,Whites,Whites have no intelligence.
19908,"robert, i'm the coolest catholic apologist out there, other than patrick madridno one is as cool at pat madrid!",Catholics,Catholics are stupid
15795,& both intelligent black patriots . dems new chains they want to put on minorities go by the names blm & antifa .,Progressives,Progressives want to rule over minorities.
11102,you should see sm . towns in arkansas ; majority were white 70 %  blacks 25 %  other 5 % . now . white 45 %  black 20 % & mexican ( maj . illegals ) 35 % !,Minorities,Minorities want to monopolize over whites.
19522,"let them test my wall, will only test it onceelectrify the wall with extremely high voltage.",Immigrants,Implying immigrants should be killed when trying to pass the border
19531,"yes, it's so simple!this is why the middle east and africa are so peaceful. no evil white people!",White people,White people ruin countries
11166," rt 93 - year-old german camp cook arrested by zionist authorities for  "" mass killing of jews "" "" va """,Jews,Jews are dishonest liars
647,or give a heartfelt eulogy to a racist like obama did at robert white sheets byrd's funeral .,Blacks,Blacks are racist.
4291,new york times paul krugman gloats over demise of white america via,People working for the New York Times,People working for the New York Times hate white people.
1330,french politician : france belongs to the white,white people,France is a country for white people.
15293,love white genocide . also see this :,white people,White people are dying.
20006,"bring back slavery? oh well, there goes the $433k cotton stripper.",Black people,Black people are only good for labor
10611,i would think that pro white activity in any state is a boost to all states and especially to white activists .,Minorities,Minorities are less than whites.
19601,"and as we know, islam is not a religion of peace and tolerance and there is no place for islam in the civilized world.",muslims,Muslims do not deserve a place in our world.
5724,#dummycrats new white supremecist ... #toostupid,Democrats,Democrats are white supremacists.
11792,sure ! whatever whitey !,Whites,Whites are separatist
12867,white identity is timelesa,non-white people,non-white people are inferior
20187,close down the borders!! allow non government working class to watch them,Immigrants,Immigrants should be kept out of the country.
468,i support the alt right aspersions for portion of us to be all white ethnostate  even,Minorities,Minorities are substandard races
16403,the whole point of conservatism is to suppress white racial consciousness .,non-white people,non-white people are inferior
20600,"and they should have to pay every dime back, plus interest. from their own damn pockets.",No specific group,See above
1218,because jews meddle too much  white christians gave 60 + million lives,Jews,Jews are devious
1558,not to be racist but talk about black privilege ... if it were white people media would b,black people,Black people are priveledged.
3917,a perfect demonstration of fear-based mind control programming #withjewswelose #nomorejewishlies,jews,Jews are controlling and liars
11551,i generally like the populists . #altright is getting too broad with the nihilism  abortion  eugenics  anti-christianity  etc,alt-right,alt-right are too extreme
2775,white pride world wide t-shirt from the white resister :,non-white people,non-white people are enemies
4873,another muslim in the white house,Muslims,Muslims don't belong in the white house.
11673,msm clearly embarrassed by anarchic & anti-white racist violence of #baltimoreriots and not a word about #soros funding #blacklivesmatter,white folks,anti-white racists
2302,i believe that sjw are making white men the scapegoats  like hitler did w jews .,social justice warriors,Social justice warriors hate white people.
9876,pl . enjoy fuhrer jokes ! ! laughing the whole time !,Jews,Jews are inferior
19184,"no,you are saying those who studied,worked hard to enter usa legally are not only dumb but stupid2.cheats will be rewarded with citizenship",Immigrants,Immigrants steal job.
17826,elin krantz : just another dead white liberal female raped to death by non-white via,non-white people,non-white people are rapists
4569,where's ' jewish council ' aka statement on mb spiritual leader qaradawi edict to ummah :,Jews,Jews are cowards
8157,the only whites who are declining are white liberals  white conservatives and everything to the right of them are multiplying . whites of tomorrow will be fewer but they will be far more right wing and far right . everything is going our way,whites,the white race is declining
20598,they have zero rights as citizens. not citizens duh! court should toss case and arrest them!,Immigrants,Immigrants should be imprisoned
12796,us citizens don't matter . especially if you're a white male . this is the new american illegal & nonenglish speaking,Illegals,Illegals want to take power from US citizens.
9644,his muslim faith requires him to subjugate you or kill you,Muslims,Muslims are killers.
14716,white people are evil and deserve discrimination via #thanksjews,Whites,Whites are wicked
10238," everyone isn't  "" comingling "" "" only white people and white countries have to "" "" comingle "" "" """,Minorities,Minorities are inferior races.
11043,white pill thread,Minorities,Minorities are inferior
20606,no surprise there then..the only - nasty but necessary - option is to de-islamise our societies and d,Muslims,"De-islamise speech, pure hate speech."
12693,spoken like a true apologist for islamic supremacism .,Muslims,Muslims are arrogant
12753,they are just white people . not high in the pecking order with him .,whites,whites are not important
8292,white people donating to white organizations is bad . jews donating to jewish organizations is good .,Jews,Jews are hypocrites
8592,because #blacklivesmatter is an anti white hate group .,Black Lives Matter,Black Lives Matter hates white people.
4468,the white #workingclass built this nation : #news #wpww #whitepride,working class people,Working class people work harder than others.
15407,sadly this is what the older jewish sect wants . a black on white race war,Jews,Jews wants black and white race to fight each other
16337,still believes ( like trump ) that whites are superior race,white people,White people think that they are better than everyone else.
20173,"#daca must die, works against american public, all must be removed/deported #maga #masa #trumptrain #dts #lockherup",Immigrants,Immigrants should be deported.
5150,it's amazing how whites advocating for their own people offends others so much . they can't help but reveal their anti-white racism when confronted with the fact that the white race has the right to exist .,Minorities,Minorities are prejudiced
7473," funny how it's  "" racist "" "" to get the white vote  while they openly want the votes from jews  blacks  hispanics  etc . """,Progressives,Progressives are hypocrites.
18343,what will take for a black person who kills a white person to actually be charged with a hate crime ?,black people,Black people kill white people.
20066,just look at their face! each one of them has a blood thirsty eye. freak!,Handicaped People,Handicaped people are freak.
10405,ah  right . i forgot  the only valid people are the straight white ones .,Heterosexual Whites,Heterosexual Whites act superior to others.
6608," so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """,whites,whites are discriminated against in the workplace
3098,but this works with white-race-obsessed alt right people too .,White people,White people are racists
10846,so  you're a black maga bro who is less concerned w / actual white supremac,Blacks,Blacks are hypocrites
16896,education ? you mean anti white propaganda ?,Progressives,Progressives are opposed to whites
14742,who cares to wager that will attack tonight because they don't hate white kids ? #charlestonshooting #charlestonstrong,killers,Killers like white people.
19125,the sin nature of the unregenerate!,Immigrants,Immigrants have a sinful nature
19198,"neanderthals were way ahead of negroes. whites carry many neanderthal genes. blacks, none.",Black people,Black people are primitive
15235,in this day and age being white is a bad word,non-white people,non-white people are persecutors
19595,the muslim paradigm is a soulless vapid perverted stain on the bed of humanity.,Muslims,Muslims are soulless
2925," what is an  "" amrcn "" "" doing with an ' isrli counter terror agt ? ' well .. once a jew always a jew .. very clannish ! ! """,Jewish people,Jewish people are terrorists
13047,- does anyone here at #queer want america to become islamic and be forced to dress like zahra billoo ?,Islamic people,Islamic people don't know how to dress.
