post_id,target,implied_statement
7246,Minorities,Minorities are displacing whites.
12230,Non-whites,Non-whites are inferior.
523,Jews,Jews are manipulative.
932,Jews,Jews spread fake news.
12861,non-white people,non-white people are a threat
13793,non-white people,non-white people are inferior
3584,Muslims,Muslims are a threat.
16029,non-white people,non-white people are excluded
4696,Minorities,Minorities are a threat to society.
6126,Jews,Jews are responsible for harming whites.
9143,non-white people,non-white people are worthless
19347,Chinese people,Chinese people are a problem.
1076,non-white people,non-white people are a threat
9983,non-whites,non-whites are a threat
19272,Black people,Black people are inferior.
16870,Conservatives,Conservatives are weak.
10021,non-white people,non-white people are a threat
9861,Jews,Jews are manipulative.
14800,Black people,Black people are a threat to whites.
3678,Minorities,Minorities are a threat to whites.
12058,Chinese people,Chinese people are invading.
20623,Immigrants,Immigrants are criminals.
20657,Black people,Black people are violent.
3690,Muslims,Muslims are biased.
18086,African migrants,African migrants are invaders.
12815,non-white people,non-white people are hateful
8509,Iranians,Iranians are dangerous.
78,white people,white people are hated
477,White people,White people are proud of their race.
6093,Jews,Jews are hostile to whites.
2742,Muslims,Muslims are incestuous.
16623,South Africans,South Africans are rapists.
3447,Jewish people,Jewish people are warmongers.
6964,Refugees,Refugees are undeserving.
5325,White people,White people are brainwashed.
10183,Immigrants,Immigrants are criminals.
6570,White and Black people,White and Black people are foreigners.
17257,Muslims,Muslims are a threat.
11568,White people,White people are under threat.
1025,white people,white people are hated
8896,non-white people,non-white people are inferior
5652,white men,white men are hated
10581,Mexicans,Mexicans are inferior.
14625,Immigrants,Immigrants are invading other countries.
18632,Mormons,Mormons are white and have many children.
4848,Conservatives,Conservatives hate white people.
17931,Liberals,Liberals are disloyal.
685,White people,White people are racist.
20210,Illegals,Illegals are criminals.
16671,Muslims,Muslims are taking over America.
3604,White people,White people are not wanted.
19325,Illegal Immigrants,Illegal Immigrants are undeserving
15746,non-white people,non-white people are a threat
5131,Muslims,Muslims are killers.
6574,Jews,Jews are manipulative.
11819,Jews,Jews are hostile to whites.
2990,Muslims,Muslims are controlling.
6760,Black people,Black people kill white people.
12515,Non-white people,Non-white people are uncivilized.
20796,Unspecified enemy or threat,The targeted group deserves to be violently confronted.
8278,White people,White people are being erased.
2773,non-white people,non-white people are a threat
8849,Jews,Jews are hypocrites.
17972,Black people,Black people are hostile to whites.
16218,Jews,Jews are planning genocide.
1560,White people,White people are superior.
12868,Black people,Black people are violent.
5691,Muslims,Muslims are hateful.
13632,Muslims,Muslims are violent extremists.
20288,Illegal immigrants,Illegal immigrants are a threat to Americans.
918,Muslims,Muslims are criminals.
10600,Black men,Black men are misogynistic.
889,Non-whites,Non-whites are unwelcome.
5419,White people,White people are in decline.
18175,Black people,Black people are hateful and separatist.
11436,White people,White people are worthless
2079,Jews,Jews are anti-white racists.
15258,non-white people,non-white people are not nationalists
16439,White liberals,White liberals are immoral and evil.
3120,Conservatives,Conservatives are immoral.
17049,Black people,Black people are dangerous.
2753,Jews,Jews are not white.
19960,Muslims,Muslims are violent.
17106,White people,White people are supremacists.
512,non-white people,non-white people are inferior
5139,Antifa,Antifa are criminals.
7584,Non-whites,Non-whites are a threat to whites.
20801,Immigrants,Immigrants are lawbreakers.
10420,Immigrants,Immigrants are not dangerous.
9723,Muslims,Muslims are inferior.
1607,Immigrants or minorities,Immigrants or minorities are a threat.
9395,non-white people,non-white people are excluded
19837,Minorities,Minorities are not good at math.
9289,Black people,Black people are subservient.
10289,Christians,Christians are white supremacists.
18029,white people,white people are inferior
15688,Minorities,Minorities are a threat to white culture.
20113,Illegal immigrants,Illegal immigrants should be deported
20031,Hispanic,Hispanics are a problem
3559,Minorities,Minorities are a threat.
11566,Muslims,Muslims are taking over governments.
8441,Jews,Jews are manipulative.
19466,Black people,Black people are not intelligent.
19922,White people,White people are superior.
2243,Jews,Jews should be killed
10962,Black people,Black people are disposable.
535,Atheists,Atheists are hostile to religious freedom.
5767,Black people,Black people are violent.
18566,Jews,Jews are taking over
6683,non-white people,non-white people are inferior
16752,Muslims,Muslims are rapists.
2924,Minorities,Minorities are anti-white.
11604,Muslims and Liberals,Muslims and Liberals are manipulative.
16758,Black people,Black people are taking over the country.
9191,non-white people,non-white people are a threat
489,Muslims,Muslims celebrate murder.
8310,Muslims,Muslims are a threat.
469,Non-whites,Non-whites are inferior.
15376,Muslims,Muslims are deceitful.
5021,non-white people,non-white people are excluded
2097,white people,white people are overreacting
3337,Jews,Jews are paranoid.
16785,Minorities,Minorities are the problem.
20286,Immigrants,Immigrants are unwanted.
2192,White people,White people are racist.
4685,White people,White people are self-interested.
19743,None,None
3728,White people,White people are unwelcome.
15174,LGBTQ+,LGBTQ+ are a threat to churches.
19498,Immigrants,Immigrants are ruining the country.
6312,Democrats,Democrats are racist.
10814,non-white people,non-white people are a threat
6789,Non-white people,Non-white people are outsiders.
19999,Muslims,Muslims should be eliminated.
14451,Illegal aliens,Illegal aliens are criminals.
19914,Illegal immigrants,Illegal immigrants are stupid.
11866,non-white people,non-white people are invaders
12482,Jews,Jews control the media and fund radicals.
13204,White people,White people are inauthentic.
15976,Conservatives,Conservatives are weak.
12318,Refugees,Refugees are a threat to the European working class.
3781,Muslims,Muslims are terrorists
15996,Jews,Jews are disrespectful.
15853,White people,White people are hateful.
6604,Black people,Black people are violent.
8801,non-white people,non-white people are a threat
19667,Muslims,Muslims are depraved
19900,Muslims,Muslims are pests.
16229,non-white people,non-white people are unpatriotic
974,Muslims,Muslims are racist.
7226,non-white people,non-white people are inferior
9978,non-white people,non-white people are a threat
2884,Non-whites,Non-whites are inferior.
11047,Black South Africans,Black South Africans are violent.
11601,Muslims,Muslims are violent towards Christians.
3387,Muslims,Muslims are abusive.
15294,Black people,Black people are inferior and problematic.
18766,White people,White people are being targeted for violence.
17433,non-white people,non-white people are inferior
12460,Muslims,Muslims are killers.
19703,Muslims,Muslims are violent and unintelligent.
20349,Illegal immigrants,Illegal immigrants should be killed.
3940,non-white people,non-white people are inferior
20575,Muslims,Muslims are violent.
20665,Muslims,Muslims are a threat to peace.
12077,Black people,Black people are irrational.
19678,Immigrants,Immigrants are unwelcome.
19815,Muslim women,Muslim women are oppressed.
10380,non-white people,non-white people are invaders
16524,non-white people,non-white people are a threat
19685,Black people,Black people are ugly.
9393,Non-whites,Non-whites are outsiders.
5827,White people,White people are victims.
4230,Jews,Jews are white nationalists.
20915,Muslims,Muslims are invading barbarians.
20685,Illegal Immigrants,Illegal Immigrants are unwanted.
15989,Jews,Jews are hated
925,Supporters of interracial marriage,Interracial marriage is harmful or problematic and should be outlawed.
19457,Muslims,Muslims are perverts.
14760,non-white people,non-white people are inferior
9599,Black people,Black people are criminals.
1736,Polish people,Polish people are undesirable.
8390,Jews,Jews are manipulative.
3465,non-white people,non-white people are a threat to whites
15033,Black people,Black people are dependent on whites.
2208,Immigrants,Immigrants are illegal.
17169,non-white people,non-white people are a threat
17506,White people,White people are superior.
