post_id,target,implied_statement
889,Non-white folks,Non-white folks are not welcome
18175,Black folks,Black folks are separatists
11436,White folks,White folks are worthless
15258,Non-white people,Non-white people are not true nationalists
16439,white liberals,white liberals are immoral
3120,conservatives,conservatives lack integrity
17049,Black folks,Black folks are dangerous
2753,Jews,Jews are different
17106,White people,White people are white supremacists
512,Non-white folks,Non-white folks are not involved in infrastructure
5139,Antifa,Antifa commit vandalism
7584,Non-white folks,Non-white folks threaten the survival of the white race
20801,Immigrants,Immigrants commit crimes
10420,Immigrants,Immigrants are dangerous
1607,Non-Americans or Non-Identitarians,Non-Americans or Non-Identitarians are not easily defensible or understandable.
9395,Non-white people,Non-white people are excluded
19837,Non-white folks,Non-white folks are less capable in math
10289,Non-white people,Non-white people are not associated with Christianity
18029,White folks,White folks are becoming extinct
15688,Non-white people,Non-white people cause decline in race relations
20113,Illegal Immigrants,Illegal Immigrants should be removed
20031,Hispanic folks,Hispanic folks hinder progress
3559,Non-white folks,Non-white folks are being overtaken
8441,Jews,Jews promote racial hatred
19466,Black folks,Black folks are not good at math or science
19922,Latino/Latina folks,Latino/Latina folks are inferior to white people
2243,Jews,Jews are targeted for hate
10962,Black folks,Black folks are disposable
535,Atheists,Atheists are intent upon stealing freedom of religion
5767,Democrats,Democrats are incompetent
18566,Christians,Christians are marginalized
6683,Non-white people,Non-white people are inferior
16752,Muslims,Muslims commit rape
11604,Muslims / Liberals,Muslims / Liberals cause division
16758,Black folks,Black folks are incompetent leaders
9191,Non-white people,Non-white people are causing the decline of the white population
489,Muslims,Muslims celebrate killing Jews
8310,Muslims,Muslims are a threat
469,Non-white folks,Non-white folks are inferior
15376,Muslims,Muslims are deceptive
5021,Non-whites,Non-whites are excluded
2097,Non-white people,Non-white people are a threat to safety
16785,White families,White families are not the cause of America's problems
20286,Immigrants,Immigrants should be deported
2192,Conservatives,Conservatives are weak
4685,White people,White people have interests that are not valuable
3728,White people,White people are unnecessary
15174,LGBTQ+ folks,LGBTQ+ folks are a threat
19498,Immigrants,Immigrants ruin the country
6789,Non-white people,Non-white people are outsiders
19914,Immigrants,Immigrants are dumb
13204,Black folks,Black folks are not genuine
15976,Black folks,Black folks are not worthy of celebration
12318,Refugees,Refugees are unwanted
3781,Muslims,Muslims are terrorists
15996,Jews,Jews are sensitive about the capitalization of their name.
15853,White people,White people are problematic
8801,Non-white folks,Non-white folks are not worthy of support
19667,Immigrants,Immigrants are morally corrupt
19900,Muslims,Muslims are inferior
16229,non-white Americans,non-white Americans are not patriotic
974,Muslims,Muslims are racist
7226,Non-white people,Non-white people are inferior
9978,White people,Diversity erases and replaces white people
2884,Skinheads,Skinheads are racist
11047,Black South Africans,Black South Africans commit racial violence
11601,Muslims,Muslims torture Christians
3387,Muslims,Muslims subjugate and abuse
15294,Black folks,"Black folks have lower IQ, commit more crimes, and have higher rates of fatherless households"
18766,White people,White people are targeted for violence
17433,Non-white folks,Non-white folks are inferior
12460,Muslims,Muslims kill you
19703,Muslims,Muslims are low IQ and destructive
20349,Immigrants,Immigrants are threats
3940,Non-white folks,Non-white folks are inferior
20575,Muslims,Muslims commit violent acts
20665,Muslims,Muslims are dangerous
12077,Black folks,Black folks are hysterical
19678,Immigrants,Immigrants are unwanted
19815,Muslim women,Muslim women are oppressed and enslaved by their religion
10380,Non-white immigrants,Non-white immigrants are invaders
16524,Non-white people,Non-white people are causing the decline of the white population
19685,Black folks,Black folks are ugly and subhuman
9393,Non-white people,Non-white people are inferior
5827,White folks,White folks are targeted by violence
4230,Jews,Jews are white nationalists
20915,Muslims,Muslims are barbarians
20685,Immigrants,Immigrants are a burden
15989,Jews,Jews are associated with negative historical events
925,Interracial couples,Interracial couples are a threat to some beliefs
9599,Black folks,Black folks commit crimes against white folks
1736,Polish people,Polish people are less desirable immigrants
8390,Jews,Jews have an agenda
3465,Non-white folks,Non-white folks cause the extinction of the white race
15033,Black folks,Black folks are dependent on white societies
2208,Immigrants,Immigrants are illegal
17169,Non-white people,Non-white people are undesirable
10297,Antifa,Antifa are gullible
67,White folks,White folks are not smart
2179,Immigrants,Immigrants disrespect laws
9387,white people,white people are apathetic
5300,White folks,White folks are under threat
4143,White people,White people are bigots.
17353,White people,White people are acceptable targets of bigotry
18265,Muslims,Muslims kill Christians
20921,A specific group of people,The group is harmful to society
20759,Immigrants,Immigrants are unwanted
2954,Baby Boomers,Baby Boomers are irrelevant
20109,Immigrants,Immigrants are a burden
2896,LGBTQ+ individuals,LGBTQ+ individuals are associated with white nationalism
14133,Non-white people,Non-white people are oppressing white people
4494,Non-white people,Non-white people do not belong in America
10848,Muslims,Muslims are criticized for their religion
19548,Black folks,Black folks are dangerous predators
10658,Black folks,Black folks disrespect national symbols
19227,Black people,Black people are inferior
1707,Jews,Jews suppress free speech
12893,Minorities,Minorities are deserving of hate
11114,Immigrants,Immigrants are illegal
19726,People with body modifications,People with body modifications have harmful objects in their flesh
12732,White people,White people are unwanted
20376,Residents of Auburn,Residents of Auburn are unsafe or unintelligent
2260,Jews,Nazis are admirable
12584,Non-white population,Non-white population are a threat
18376,Non-white folks,Non-white folks are inferior
3892,White people,Black people kill white people
1477,Democrats,Democrats falsely accuse others of being racist
19207,Immigrants,Immigrants are unwanted
20735,Immigrants,Immigrants are terrorists
11693,Black folks,Black folks corrupt whites
456,Liberals,Liberals are unreasonable
2974,Black folks,Black folks are slaves
2106,Non-white and Non-Christian Americans,Non-white and Non-Christian Americans are not true Americans
16649,Immigrants,Immigrants are illegal
501,Non-Scandinavian and Non-Irish people,Non-Scandinavian and Non-Irish people are not white
19668,Immigrants,Immigrants are illegal
18271,Immigrants,Immigrants are in conflict with white America and want violent activities
11441,White people,White people should die out
13601,Black folks,Black folks need white people to defend them
13049,gay white male atheist feminists,gay white male atheist feminists need safe spaces
5343,White Americans,White Americans are biased
3770,White people,Black supremacists attack whites
4870,Jews,Jews are involved in fraudulent activities
13664,Jews,Jews are a threat to human capital
16276,White people,White people are racist supremacists
20325,Muslims,Muslims are associated with terrorism and should be targeted with fear tactics
11267,Immigrants,Immigrants are illegal
8962,Immigrants,Immigrants are a threat to the German people
20694,Muslims,Muslims infiltrate institutions
11157,Black folks,Black folks are disloyal to their race
8214,Asian folks,Asian folks are drunk
1055,Jews,Jews are a negative or surprising characteristic
8667,White folks,White folks are being targeted for genocide
15331,Non-white Americans,Non-white Americans are not true Americans
11530,White folks,White folks are violent
3776,White folks,White folks should be eliminated
17143,White women,White women are insignificant
638,Non-white people,Non-white people are invading and causing genocide
18676,Jews,Jews control movements
18442,Nonwhites,Nonwhites commit disproportionate hate crimes/murders against whites
20769,Immigrants,Immigrants are unwanted
2770,Non-white people,Non-white people are taking over white homelands
19392,Indians,Indians are uncivilized
19253,Black folks,Black folks are not smart
16967,Jews,Jews control international banking
9572,White people,White people are dying out
20224,Black people,Black people are violent
6447,Non-white people,Non-white people are violent
12587,Black folks,Black folks are not genuine or self-hating
9444,Black folks,Black folks cause problems when given freedom
4088,White supremacists,White supremacists are violent
1196,Jews,Jews celebrate the destruction of the white race
19802,Immigrants,Immigrants are criminals
13668,Non-white folks,Non-white folks are inferior
6551,White people,Black supremacists kill white people
3541,Africans,Africans are not white
10259,White people,White people should be killed
15307,Black folks,Black folks are inferior
4869,Non-white folks,Non-white folks are increasing in number
4354,White folks,White folks are opposed by Antifa
187,Women seeking reproductive healthcare,Women seeking reproductive healthcare are undignified
20063,Specific ethnic group,Specific ethnic group deserve violence
19492,Christians,Christians are low IQ and have low standards
14317,Muslims,Muslims are not condemned for slavery
3633,Non-white folks,Non-white folks are less accomplished
5854,Non-white folks,Non-white folks are inferior
1471,Jews,Jews are destructive
19973,Immigrants,Immigrants are stubborn and noisy
18491,Muslims,Muslims ignore jihad against Europeans
9341,Muslims,Muslims are overly sensitive
14990,Hispanic folks,Hispanic folks are disloyal
16697,Jews,Jews kill babies
20358,Women,Women are traitors
4817,White people,Diversity is a threat to white people
5499,Non-white people,Non-white people are violent conquerors
2758,Non-white folks,Non-white folks do not belong
20457,Immigrants,Immigrants commit serious crimes
18792,Non-white working class,Non-white working class are a threat
12802,Jews,Jews are a threat
5677,Muslims,Muslims are evil
6471,Black folks,Black folks are used as a cover for racism
16411,Non-white people,Non-white people are less desirable
4374,Immigrants,Immigrants take financial benefits
19836,Black folks,Black folks are associated with magic or mysticism
19814,People who disagree with the speaker,People who disagree with the speaker are racist
19143,Whites,Whites are responsible for Africa's underdevelopment
1025,White people,White people are targeted negatively
5652,White men,White men are the problem
20796,Opponents,Opponents are violent
5419,White Americans,White Americans are declining
2079,Jews,Jews are anti-white racists
19960,Muslims,Muslims kill cows
9723,Muslims,Muslims are inferior
9289,Black folks,Black folks are subservient
11566,Muslims,Muslims take over governments
2924,Non-white groups,Non-white groups are anti-white
3337,Jews,Jews are responsible for spreading fear of a second holocaust
19999,Muslims,Muslims should be eliminated
14451,Immigrants,Immigrants commit crimes
11866,Non-whites,Non-whites are invaders
12482,Jews,Jews control media and finance radicals
6604,Black folks,Black folks kill for fun
19457,Muslims,Muslims commit violence
17506,Whites,Whites who support race mixing and lack ethnic pride are superfluous.
11423,Non-white people,Non-white people are causing the decline of white society
19507,Immigrants,Immigrants are barbaric and uncivilized
9346,Hispanic folks,Hispanic folks are taking over national parks
4750,Jews,Jews go too far and admit it
1186,Non-white people,Non-white people are outsiders
11561,Non-white people,Non-white people are a threat to white babies
6570,White and Black people,White and Black people are immigrants
11568,White folks,White folks are superior
19743,Immigrants,Immigrants do not follow the rules
6312,Democrats,Democrats are racist
10814,Non-white people,Non-white people have large numbers of children
14760,Non-white people,Non-white people are inferior
